id,latitude,longitude,time,magnitude
0,38.836193,-122.82807,2008-12-10 10:27:50.399999,2.26
1,38.838719,-122.828722,2008-12-14 02:13:55.199999,2.27
2,38.838247,-122.828613,2008-12-16 23:42:43.200001,1.71
3,38.834539,-122.829776,2008-12-19 12:17:16.799999,2.41
4,38.838054,-122.829477,2008-12-31 11:54:14.400004,1.63
5,38.838779,-122.828174,2009-01-01 11:19:40.799996,1.9
6,38.840011,-122.829105,2009-01-07 11:06:43.199999,2.49
7,38.838231,-122.828377,2009-01-20 21:23:02.399995,1.57
8,38.838759,-122.828519,2009-01-21 10:53:45.600002,1.8
9,38.837786,-122.827964,2009-02-02 08:47:02.400003,1.94
10,38.84075,-122.825832,2009-02-12 18:56:09.599999,1.48
11,38.84083,-122.825484,2009-02-12 19:06:14.399998,2.16
12,38.840585,-122.828865,2009-02-18 23:23:59.999998,1.93
13,38.840602,-122.827682,2009-02-22 06:14:24.000001,1.57
14,38.84059,-122.825391,2009-02-22 14:41:16.799997,1.92
15,38.839395,-122.829003,2009-03-04 23:12:28.799995,2.26
16,38.840214,-122.827476,2009-03-06 09:53:16.800001,2.41
17,38.840626,-122.825321,2009-03-10 20:47:02.400003,1.6
18,38.839839,-122.827409,2009-03-17 09:07:12.000000,2.41
19,38.834179,-122.82726,2009-03-18 04:19:12.000004,2.41
20,38.834769,-122.825877,2009-03-18 04:19:12.000004,2.23
21,38.837241,-122.829553,2009-03-19 16:35:02.399999,1.68
22,38.837572,-122.827794,2009-03-25 02:15:21.600004,1.55
23,38.841592,-122.825556,2009-03-30 07:14:52.800002,1.6
24,38.840884,-122.825328,2009-03-31 01:16:19.199996,2.16
25,38.8353,-122.827506,2009-03-31 02:21:07.200000,1.94
26,38.836879,-122.82865,2009-04-02 02:32:38.400002,1.96
27,38.839082,-122.82822,2009-04-12 22:06:14.399998,1.38
28,38.839455,-122.829636,2009-04-17 04:53:45.600002,1.79
29,38.842441,-122.827385,2009-04-17 12:31:40.800000,2.04
30,38.83904,-122.829197,2009-04-29 08:23:59.999998,1.93
31,38.838089,-122.829522,2009-04-29 08:26:52.799996,1.63
32,38.839775,-122.829564,2009-05-13 07:43:40.800004,1.41
33,38.83788,-122.829321,2009-05-13 09:23:02.399995,1.44
34,38.841618,-122.828134,2009-05-16 10:49:26.400000,1.95
35,38.838363,-122.827622,2009-05-17 14:02:23.999997,1.96
36,38.838652,-122.828219,2009-05-26 05:13:55.199999,1.62
37,38.838098,-122.82923,2009-05-28 10:22:04.800003,1.71
38,38.837733,-122.830766,2009-05-30 22:20:38.399998,2.32
39,38.839566,-122.829256,2009-06-07 09:50:24.000003,2.28
40,38.838431,-122.828457,2009-07-05 02:41:16.799997,1.5
41,38.840356,-122.82816,2009-07-08 04:42:14.400000,1.72
42,38.837705,-122.829239,2009-07-13 13:16:19.199996,2.09
43,38.837787,-122.829262,2009-07-20 22:01:55.199995,1.72
44,38.838409,-122.827593,2009-09-02 11:45:35.999999,2.35
45,38.838932,-122.828767,2009-09-04 17:51:21.599995,1.65
46,38.838903,-122.829308,2009-09-15 04:24:57.600001,2.31
47,38.841347,-122.826649,2009-09-21 12:40:19.200004,1.61
48,38.838762,-122.828201,2009-09-30 20:38:23.999999,2.18
49,38.838061,-122.829371,2009-10-01 08:16:47.999998,2.27
50,38.838609,-122.828408,2009-10-01 08:47:02.400003,1.74
51,38.838494,-122.826303,2009-10-07 17:45:35.999999,1.65
52,38.838324,-122.829812,2009-10-13 14:49:55.200001,2.15
53,38.837352,-122.827758,2009-10-13 15:28:48.000002,1.63
54,38.838486,-122.829204,2009-10-18 17:06:43.199999,1.51
55,38.838202,-122.828258,2009-10-22 13:47:59.999996,1.69
56,38.841004,-122.829073,2009-10-22 23:49:55.200001,2.16
57,38.837691,-122.82875,2009-11-01 11:41:16.799997,1.6
58,38.841336,-122.826138,2009-11-03 01:07:40.800002,2.16
59,38.839946,-122.829193,2009-11-03 15:28:48.000002,2.13
60,38.839596,-122.828061,2009-11-07 06:01:26.400004,2.0
61,38.841602,-122.825248,2009-11-07 11:15:21.600004,1.53
62,38.835557,-122.826642,2009-11-08 07:47:59.999996,1.39
63,38.841412,-122.825014,2009-11-08 23:06:43.199999,2.25
64,38.839221,-122.828736,2009-11-09 10:17:45.600000,1.38
65,38.836674,-122.828485,2009-11-09 13:50:52.800004,2.03
66,38.841661,-122.825309,2009-11-21 12:43:12.000002,1.42
67,38.83852,-122.829395,2009-11-22 03:01:26.400004,1.42
68,38.838512,-122.828757,2009-11-23 01:30:43.199997,2.27
69,38.838049,-122.829185,2009-11-23 01:33:35.999995,1.62
70,38.83877,-122.829848,2009-11-26 04:58:04.800005,1.59
71,38.842665,-122.827837,2009-11-27 16:10:33.600000,2.48
72,38.838898,-122.82728,2009-12-02 18:02:52.799998,1.95
73,38.837316,-122.830275,2009-12-06 19:32:09.600001,2.62
74,38.837635,-122.828366,2009-12-13 02:48:28.799997,1.44
75,38.839478,-122.825697,2009-12-14 05:02:23.999997,1.41
76,38.841195,-122.830096,2009-12-15 01:37:55.199997,2.38
77,38.839884,-122.82592,2009-12-17 08:08:09.600003,1.7
78,38.843041,-122.826174,2009-12-19 23:06:43.199999,1.4
79,38.840887,-122.828508,2009-12-20 22:32:09.600001,1.69
80,38.842096,-122.825997,2009-12-21 20:00:57.600003,1.4
81,38.846487,-122.824809,2009-12-22 01:07:40.800002,2.61
82,38.84055,-122.828286,2009-12-24 22:04:48.000004,1.83
83,38.838051,-122.828626,2009-12-26 11:42:43.200001,1.7
84,38.840163,-122.829488,2009-12-26 12:04:19.200002,2.42
85,38.837686,-122.828639,2009-12-26 14:03:50.400001,1.73
86,38.842205,-122.826463,2010-01-01 15:07:12.000000,2.63
87,38.842658,-122.827835,2010-01-01 15:46:04.800001,2.27
88,38.837931,-122.827487,2010-01-04 13:32:09.600001,2.48
89,38.842199,-122.827736,2010-01-06 01:42:14.400000,1.6
90,38.839494,-122.824853,2010-01-08 21:17:16.799999,1.95
91,38.843044,-122.825542,2010-01-09 00:50:24.000003,1.58
92,38.839442,-122.829183,2010-01-10 12:48:57.599999,2.25
93,38.838648,-122.826689,2010-01-10 22:20:38.399998,2.13
94,38.83727,-122.829232,2010-01-11 18:07:12.000000,2.18
95,38.835529,-122.829724,2010-01-11 18:12:57.599997,1.83
96,38.835977,-122.829487,2010-01-11 18:14:24.000001,1.6
97,38.837292,-122.829605,2010-01-11 22:56:38.400000,1.87
98,38.835314,-122.830806,2010-01-12 06:11:31.200003,2.0
99,38.835549,-122.830627,2010-01-12 06:12:57.599997,1.81
100,38.837279,-122.82969,2010-01-16 12:15:50.400005,2.26
101,38.839078,-122.825716,2010-01-16 21:23:02.399995,1.55
102,38.839273,-122.828125,2010-01-17 22:55:11.999996,2.49
103,38.842947,-122.824741,2010-01-18 16:09:07.199996,1.39
104,38.841335,-122.826146,2010-01-19 13:42:14.400000,1.86
105,38.836965,-122.828657,2010-01-21 04:43:40.800004,1.37
106,38.838035,-122.828069,2010-01-23 23:19:40.799996,1.68
107,38.841232,-122.825075,2010-01-24 13:53:45.600002,2.41
108,38.839631,-122.828878,2010-01-24 18:36:00.000002,1.38
109,38.841572,-122.827192,2010-01-28 10:23:31.199997,2.25
110,38.837442,-122.827338,2010-01-29 11:57:07.200002,1.37
111,38.840165,-122.829112,2010-02-02 08:57:07.200002,1.9
112,38.840793,-122.829073,2010-02-04 16:35:02.399999,2.19
113,38.841077,-122.828355,2010-02-09 21:25:55.200003,2.0
114,38.837992,-122.827803,2010-02-14 15:51:50.399997,2.27
115,38.839169,-122.82888,2010-02-24 11:05:16.800005,1.7
116,38.836947,-122.827861,2010-02-25 19:52:19.199998,1.43
117,38.84309,-122.828013,2010-02-28 19:30:43.199997,1.86
118,38.839811,-122.828327,2010-03-02 13:50:52.800004,1.77
119,38.839519,-122.828787,2010-03-02 14:41:16.799997,1.67
120,38.84314,-122.827369,2010-03-05 16:19:12.000004,1.83
121,38.839808,-122.828964,2010-03-13 17:26:52.799996,1.44
122,38.841093,-122.826617,2010-03-14 12:43:12.000002,1.47
123,38.838719,-122.829722,2010-03-15 08:31:11.999998,1.95
124,38.837336,-122.830989,2010-03-19 04:45:07.199998,1.59
125,38.838353,-122.827943,2010-03-23 09:20:09.599997,1.83
126,38.841648,-122.824834,2010-03-29 22:00:28.800001,1.6
127,38.83904,-122.829012,2010-04-13 02:48:28.799997,1.82
128,38.837121,-122.829493,2010-04-15 04:56:38.400000,2.18
129,38.841845,-122.82463,2010-04-18 15:28:48.000002,2.04
130,38.836874,-122.828197,2010-04-24 10:45:07.199998,2.24
131,38.841286,-122.828165,2010-04-29 01:46:33.600002,1.97
132,38.839142,-122.829374,2010-05-01 10:36:28.800003,1.44
133,38.843087,-122.827147,2010-05-03 01:19:12.000004,1.4
134,38.837262,-122.827387,2010-05-03 08:48:28.799997,1.42
135,38.84077,-122.827949,2010-05-04 09:11:31.200003,1.99
136,38.84179,-122.828168,2010-05-04 09:51:50.399997,1.96
137,38.838858,-122.829279,2010-05-04 23:03:50.400001,1.97
138,38.837271,-122.828659,2010-05-05 01:01:55.199995,1.42
139,38.838268,-122.829109,2010-05-11 09:57:36.000003,1.93
140,38.838709,-122.828305,2010-05-20 02:06:43.199999,1.6
141,38.837154,-122.820883,2010-05-23 07:35:02.399999,1.55
142,38.842204,-122.825477,2010-05-23 10:47:59.999996,1.93
143,38.841456,-122.826162,2010-06-02 23:22:33.600004,2.18
144,38.837619,-122.827584,2010-06-04 02:38:23.999999,1.93
145,38.839426,-122.828791,2010-06-05 11:15:21.600004,2.59
146,38.837757,-122.827181,2010-06-12 05:55:40.799998,1.96
147,38.838272,-122.827661,2010-06-14 08:31:11.999998,1.63
148,38.838598,-122.828242,2010-06-26 02:45:35.999999,1.83
149,38.838245,-122.826966,2010-07-07 06:51:50.399997,1.83
150,38.839201,-122.829952,2010-07-15 14:00:57.600003,1.64
151,38.839579,-122.829171,2010-07-19 14:45:35.999999,1.68
152,38.83773,-122.827998,2010-07-21 14:02:23.999997,1.43
153,38.839403,-122.830191,2010-07-21 21:56:09.599999,1.59
154,38.838428,-122.829268,2010-07-26 23:23:59.999998,1.51
155,38.837129,-122.827993,2010-07-29 16:47:59.999996,2.22
156,38.838337,-122.827736,2010-08-01 10:00:28.800001,1.8
157,38.838333,-122.828119,2010-08-01 10:53:45.600002,1.39
158,38.837671,-122.83012,2010-08-13 03:33:07.200004,1.64
159,38.836691,-122.82765,2010-08-22 18:25:55.200003,1.44
160,38.842052,-122.825045,2010-08-25 06:48:57.599999,1.6
161,38.8398,-122.829477,2010-08-26 04:04:48.000004,2.03
162,38.843274,-122.827079,2010-09-09 12:38:52.800000,1.8
163,38.840655,-122.829143,2010-09-12 15:37:26.399996,1.4
164,38.839303,-122.828432,2010-09-22 08:13:55.199999,1.86
165,38.841931,-122.826809,2010-09-22 22:33:35.999995,1.84
166,38.837838,-122.829237,2010-09-24 04:32:09.600001,1.64
167,38.841893,-122.828593,2010-09-24 21:10:04.799999,1.5
168,38.843777,-122.827599,2010-09-26 12:02:52.799998,1.57
169,38.837098,-122.827292,2010-10-01 18:24:28.799999,1.58
170,38.837928,-122.8284,2010-10-09 18:41:45.599998,1.41
171,38.83716,-122.827848,2010-10-14 05:42:43.200001,1.65
172,38.838554,-122.829886,2010-10-26 12:15:50.400005,1.63
173,38.838849,-122.828377,2010-10-27 04:30:43.199997,1.55
174,38.839138,-122.828931,2010-10-29 11:11:02.400001,1.65
175,38.836994,-122.829785,2010-10-31 19:42:14.400000,1.6
176,38.843266,-122.824974,2010-10-31 22:53:45.600002,1.74
177,38.842291,-122.828264,2010-11-03 01:46:33.600002,1.4
178,38.839146,-122.828053,2010-11-03 09:27:21.599998,2.02
179,38.841542,-122.829472,2010-11-04 18:27:21.599998,1.6
180,38.840535,-122.827729,2010-11-06 23:47:02.400003,2.0
181,38.842762,-122.826457,2010-11-06 23:48:28.799997,1.86
182,38.8432,-122.828191,2010-11-08 23:19:40.799996,2.22
183,38.841369,-122.826791,2010-11-16 08:05:16.800005,1.39
184,38.838006,-122.827874,2010-11-17 22:50:52.800004,1.81
185,38.842382,-122.826297,2010-11-20 05:32:38.400002,1.41
186,38.842822,-122.828818,2010-11-20 06:18:43.200003,1.69
187,38.839802,-122.826292,2010-11-20 11:26:52.799996,1.72
188,38.838284,-122.828182,2010-11-20 11:58:33.599996,1.4
189,38.838933,-122.827993,2010-11-20 22:19:12.000004,1.95
190,38.837152,-122.828614,2010-11-24 02:16:47.999998,1.83
191,38.836887,-122.828041,2010-11-25 11:35:31.200001,1.69
192,38.842021,-122.828184,2010-11-26 07:35:02.399999,1.42
