id,latitude,longitude,time,magnitude,mc_current
0,38.50136,-112.88286,2024-04-03 17:47:29.411,-0.93,-1.0
1,38.50005,-112.88379,2024-04-03 17:47:40.372,-0.49,-1.0
2,38.49988,-112.88379,2024-04-03 17:50:35.034,-0.68,-1.0
3,38.5009,-112.88306,2024-04-03 17:52:17.349,-0.75,-1.0
4,38.50002,-112.88379,2024-04-03 17:53:08.477,-0.33,-1.0
5,38.50118,-112.88301,2024-04-03 17:54:56.379,-0.9,-1.0
6,38.50008,-112.88379,2024-04-03 18:02:10.812,-0.68,-1.0
7,38.50001,-112.88379,2024-04-03 18:02:17.251,-0.91,-1.0
8,38.49989,-112.8839,2024-04-03 18:06:27.783,-0.79,-1.0
9,38.50128,-112.88293,2024-04-03 18:12:09.597,-0.7,-1.0
10,38.5009,-112.88306,2024-04-03 18:14:22.006,-0.95,-1.0
11,38.49989,-112.8839,2024-04-03 18:15:39.708,-0.21,-1.0
12,38.49999,-112.88379,2024-04-03 18:16:56.938,-0.55,-1.0
13,38.50076,-112.883,2024-04-03 18:24:10.239,-0.56,-1.0
14,38.50084,-112.883,2024-04-03 18:25:36.255,-0.84,-1.0
15,38.4998,-112.88401,2024-04-03 18:27:10.413,-0.93,-1.0
16,38.50147,-112.88397,2024-04-03 18:29:32.450,-0.99,-1.0
17,38.49995,-112.88394,2024-04-03 18:33:20.472,-0.79,-1.0
18,38.49989,-112.8839,2024-04-03 18:35:33.750,-0.73,-1.0
19,38.50076,-112.883,2024-04-03 18:36:40.369,-0.52,-1.0
20,38.49999,-112.88379,2024-04-03 18:37:11.727,-0.52,-1.0
21,38.49996,-112.88412,2024-04-03 18:37:57.477,-0.97,-1.0
22,38.50173,-112.88299,2024-04-03 18:39:11.755,-0.76,-1.0
23,38.50114,-112.88308,2024-04-03 18:41:12.909,-0.35,-1.0
24,38.50015,-112.88388,2024-04-03 18:42:38.164,-0.0,-1.0
25,38.50001,-112.88379,2024-04-03 18:42:51.176,-0.99,-1.0
26,38.49984,-112.88396,2024-04-03 18:44:56.151,-0.89,-1.0
27,38.50088,-112.88303,2024-04-03 18:48:24.803,-0.13,-1.0
28,38.5009,-112.88306,2024-04-03 18:49:49.023,-0.69,-1.0
29,38.50263,-112.8837,2024-04-03 18:51:49.424,-0.32,-1.0
30,38.50109,-112.88303,2024-04-03 18:55:06.601,-0.87,-1.0
31,38.50031,-112.88395,2024-04-03 18:56:41.620,-0.37,-1.0
32,38.50077,-112.88295,2024-04-03 18:56:47.793,-0.63,-1.0
33,38.49999,-112.88379,2024-04-03 18:59:37.337,-0.59,-1.0
34,38.50087,-112.88295,2024-04-03 19:02:09.861,-0.75,-1.0
35,38.49965,-112.88414,2024-04-03 19:02:25.060,-0.66,-1.0
36,38.50078,-112.88323,2024-04-03 19:03:36.377,-0.94,-1.0
37,38.49995,-112.88394,2024-04-03 19:05:49.868,-0.67,-1.0
38,38.50235,-112.88305,2024-04-03 19:09:45.466,-1.0,-1.0
39,38.50221,-112.88315,2024-04-03 19:11:02.062,-0.98,-1.0
40,38.50116,-112.88301,2024-04-03 19:11:35.381,-0.96,-1.0
41,38.50059,-112.88299,2024-04-03 19:13:07.896,-0.62,-1.0
42,38.50107,-112.88295,2024-04-03 19:14:35.969,-0.25,-1.0
43,38.49984,-112.8842,2024-04-03 19:15:08.534,-0.97,-1.0
44,38.49989,-112.8839,2024-04-03 19:17:21.707,-0.68,-1.0
45,38.50092,-112.88295,2024-04-03 19:17:39.225,-0.42,-1.0
46,38.50079,-112.88295,2024-04-03 19:17:46.772,0.2,-1.0
47,38.50072,-112.88295,2024-04-03 19:18:09.023,-0.53,-1.0
48,38.50114,-112.88308,2024-04-03 19:19:32.851,-0.31,-1.0
49,38.50221,-112.88307,2024-04-03 19:20:15.094,-0.67,-1.0
50,38.50152,-112.88301,2024-04-03 19:22:00.365,-0.39,-1.0
51,38.49969,-112.8842,2024-04-03 19:24:53.482,-0.5,-1.0
52,38.49972,-112.88398,2024-04-03 19:25:31.669,-0.64,-1.0
53,38.50173,-112.88295,2024-04-03 19:25:49.101,-0.87,-1.0
54,38.50211,-112.88303,2024-04-03 19:32:20.895,-0.98,-1.0
55,38.50235,-112.88305,2024-04-03 19:32:27.374,-0.92,-1.0
56,38.50128,-112.88295,2024-04-03 19:34:25.459,-0.34,-1.0
57,38.49995,-112.88394,2024-04-03 19:34:51.547,-0.85,-1.0
58,38.49987,-112.88415,2024-04-03 19:35:31.566,-0.88,-1.0
59,38.50114,-112.88308,2024-04-03 19:35:39.196,-0.79,-1.0
60,38.49999,-112.88379,2024-04-03 19:35:45.615,-0.77,-1.0
61,38.50031,-112.88395,2024-04-03 19:36:23.402,-0.05,-1.0
62,38.50145,-112.88299,2024-04-03 19:36:43.217,-0.55,-1.0
63,38.50145,-112.88299,2024-04-03 19:38:09.013,-0.34,-1.0
64,38.50059,-112.88299,2024-04-03 19:38:15.268,-0.56,-1.0
65,38.49986,-112.88403,2024-04-03 19:39:34.166,-0.83,-1.0
66,38.50092,-112.88295,2024-04-03 19:39:43.909,0.05,-1.0
67,38.5014,-112.88299,2024-04-03 19:41:00.641,-0.04,-1.0
68,38.50107,-112.88292,2024-04-03 19:42:37.331,-0.97,-1.0
69,38.50114,-112.88308,2024-04-03 19:44:22.783,-0.29,-1.0
70,38.50078,-112.88295,2024-04-03 19:44:43.240,-0.45,-1.0
71,38.50072,-112.88297,2024-04-03 19:45:58.563,-0.93,-1.0
72,38.50063,-112.88395,2024-04-03 19:49:38.492,-0.67,-1.0
73,38.50063,-112.88395,2024-04-03 19:49:55.076,-0.5,-1.0
74,38.50158,-112.88287,2024-04-03 19:51:56.460,-0.48,-1.0
75,38.50221,-112.88307,2024-04-03 19:53:10.037,-0.72,-1.0
76,38.50083,-112.88295,2024-04-03 19:53:47.896,0.1,-1.0
77,38.50107,-112.88295,2024-04-03 19:55:33.191,-0.35,-1.0
78,38.50223,-112.88324,2024-04-03 19:56:14.656,-0.48,-1.0
79,38.5013,-112.88311,2024-04-03 19:56:26.359,-0.58,-1.0
80,38.50209,-112.88342,2024-04-03 19:58:41.230,-0.83,-1.0
81,38.50074,-112.88296,2024-04-03 19:59:15.254,-0.92,-1.0
82,38.50146,-112.88293,2024-04-03 19:59:19.001,0.06,-1.0
83,38.49986,-112.88403,2024-04-03 20:03:11.378,-1.0,-1.0
84,38.50218,-112.88324,2024-04-03 20:04:27.866,-0.74,-1.0
85,38.5008,-112.883,2024-04-03 20:04:31.809,-0.92,-1.0
86,38.50059,-112.88299,2024-04-03 20:04:40.870,-0.3,-1.0
87,38.5009,-112.88314,2024-04-03 20:04:45.449,-0.93,-1.0
88,38.50015,-112.88388,2024-04-03 20:06:00.852,-0.31,-1.0
89,38.50114,-112.88308,2024-04-03 20:06:58.549,-0.89,-1.0
90,38.50107,-112.88292,2024-04-03 20:10:45.605,-0.89,-1.0
91,38.50155,-112.8829,2024-04-03 20:11:30.884,-0.42,-1.0
92,38.50223,-112.88324,2024-04-03 20:11:51.427,-0.39,-1.0
93,38.5008,-112.883,2024-04-03 20:13:36.864,-0.77,-1.0
94,38.49991,-112.8842,2024-04-03 20:18:11.454,-0.76,-1.0
95,38.50221,-112.88307,2024-04-03 20:20:02.884,-0.76,-1.0
96,38.50128,-112.88295,2024-04-03 20:25:41.007,-0.71,-1.0
97,38.50206,-112.88328,2024-04-03 20:26:35.101,-0.89,-1.0
98,38.5022,-112.88324,2024-04-03 20:35:43.628,-0.45,-1.0
99,38.50158,-112.88287,2024-04-03 20:36:31.077,-0.89,-1.0
100,38.5008,-112.883,2024-04-03 20:36:50.882,-0.35,-1.0
101,38.5007,-112.88303,2024-04-03 20:43:22.933,-0.92,-1.0
102,38.50077,-112.88295,2024-04-03 20:47:11.884,-0.78,-1.0
103,38.501,-112.88295,2024-04-03 20:51:34.235,-0.48,-1.0
104,38.49984,-112.88414,2024-04-03 20:51:57.970,-0.82,-1.0
105,38.50092,-112.88295,2024-04-03 20:52:20.651,-0.01,-1.0
106,38.50014,-112.88314,2024-04-03 20:53:16.442,-0.91,-1.0
107,38.50225,-112.88338,2024-04-03 20:57:10.598,-0.9,-1.0
108,38.50083,-112.88295,2024-04-03 20:58:31.515,-0.39,-1.0
109,38.50287,-112.88289,2024-04-03 21:00:42.070,-0.68,-1.0
110,38.50223,-112.88324,2024-04-03 21:07:15.004,-0.52,-1.0
111,38.50257,-112.88282,2024-04-03 21:15:37.809,-0.26,-1.0
112,38.50063,-112.88387,2024-04-03 21:20:44.422,-0.92,-1.0
113,38.5005,-112.88411,2024-04-03 21:21:14.769,-0.59,-1.0
114,38.5008,-112.883,2024-04-03 21:32:16.009,-0.64,-1.0
115,38.50142,-112.88281,2024-04-03 21:33:55.562,-0.58,-1.0
116,38.50153,-112.88293,2024-04-03 21:34:45.399,-0.43,-1.0
117,38.50104,-112.88292,2024-04-03 21:38:40.395,-0.99,-1.0
118,38.49977,-112.88363,2024-04-03 21:38:58.758,-0.65,-1.0
119,38.50145,-112.88302,2024-04-03 21:55:52.249,-0.94,-1.0
120,38.49905,-112.88418,2024-04-03 21:56:31.664,-0.57,-1.0
121,38.49997,-112.88336,2024-04-03 21:59:54.869,-0.91,-1.0
122,38.50059,-112.88299,2024-04-03 22:05:06.691,-0.7,-1.0
123,38.49984,-112.88326,2024-04-03 22:11:20.660,-0.96,-1.0
124,38.4999,-112.88318,2024-04-03 22:11:38.042,-0.68,-1.0
125,38.50082,-112.8839,2024-04-03 22:24:05.701,-0.97,-1.0
126,38.50128,-112.88295,2024-04-03 22:30:52.509,-0.92,-1.0
127,38.5008,-112.883,2024-04-03 22:33:04.830,-0.72,-1.0
